$c_start台湾$c_end
台视,rtmp://9svd3.mine.nu/sat/tv071#rtmp://9svd4.mine.nu/sat/tv071#rtmp://9svd5.mine.nu/sat/tv071
中视,rtmp://9svd3.mine.nu/sat/tv091#rtmp://9svd4.mine.nu/sat/tv091#rtmp://9svd5.mine.nu/sat/tv091
民视,rtmp://9svd3.mine.nu/sat/tv051#rtmp://9svd4.mine.nu/sat/tv051#rtmp://9svd5.mine.nu/sat/tv051
华视,rtmp://9svd3.mine.nu/sat/tv111#rtmp://9svd4.mine.nu/sat/tv111#rtmp://9svd5.mine.nu/sat/tv111
东森超视,rtmp://9svd3.mine.nu/sat/tv331#rtmp://9svd4.mine.nu/sat/tv331#rtmp://9svd5.mine.nu/sat/tv331
MOMO综合,rtmp://9svd3.mine.nu/sat/tv761#rtmp://9svd4.mine.nu/sat/tv761#rtmp://9svd5.mine.nu/sat/tv761
纬来育乐,rtmp://9svd3.mine.nu/sat/tv701#rtmp://9svd4.mine.nu/sat/tv701#rtmp://9svd5.mine.nu/sat/tv701
纬来体育,rtmp://9svd3.mine.nu/sat/tv721#rtmp://9svd4.mine.nu/sat/tv721#rtmp://9svd5.mine.nu/sat/tv721
Sport 1,rtmp://9svd3.mine.nu/sat/tv731#rtmp://9svd4.mine.nu/sat/tv731#rtmp://9svd5.mine.nu/sat/tv731
Sport 2,rtmp://9svd3.mine.nu/sat/tv741#rtmp://9svd4.mine.nu/sat/tv741#rtmp://9svd5.mine.nu/sat/tv741
Sport 3,rtmp://9svd3.mine.nu/sat/md011#rtmp://9svd4.mine.nu/sat/md011#rtmp://9svd5.mine.nu/sat/md011
Sport 4,rtmp://9svd3.mine.nu/sat/md021#rtmp://9svd4.mine.nu/sat/md021#rtmp://9svd5.mine.nu/sat/md021
$c_start央视$c_end
CCTV1,http://www.baopiqi.top:4022/udp/239.45.3.145:5140
CCTV2,http://www.baopiqi.top:4022/udp/239.45.0.1:5140
CCTV3,http://www.baopiqi.top:4022/udp/239.45.1.68:5140
CCTV4,http://www.baopiqi.top:4022/udp/239.45.0.2:5140
CCTV5,http://www.baopiqi.top:4022/udp/239.45.1.69:5140
CCTV5+,http://www.baopiqi.top:4022/udp/239.45.0.34:5140
CCTV6,http://www.baopiqi.top:4022/udp/239.45.1.70:5140
CCTV7,http://www.baopiqi.top:4022/udp/239.45.3.56:5140
CCTV8,http://www.baopiqi.top:4022/udp/239.45.1.71:5140
CCTV9,http://www.baopiqi.top:4022/udp/239.45.3.4:5140
CCTV10,http://www.baopiqi.top:4022/udp/239.45.3.8:5140
CCTV11,http://www.baopiqi.top:4022/udp/239.45.0.18:5140
CCTV12,http://www.baopiqi.top:4022/udp/239.45.3.10:5140
CCTV13,http://www.baopiqi.top:4022/udp/239.45.0.19:5140
CCTV14,http://www.baopiqi.top:4022/udp/239.45.3.23:5140
CCTV15,http://www.baopiqi.top:4022/udp/239.45.0.20:5140
CCTV16,http://www.baopiqi.top:4022/udp/239.45.0.10:5140
CCTV17,http://www.baopiqi.top:4022/udp/239.45.3.52:5140
$c_start卫视$c_end
浙江卫视,http://www.baopiqi.top:4022/udp/239.45.3.178:5140
广东卫视,http://www.baopiqi.top:4022/udp/239.45.3.230:5140
安徽卫视,http://www.baopiqi.top:4022/udp/239.45.1.120:5140
北京卫视,http://www.baopiqi.top:4022/udp/239.45.3.229:5140
湖南卫视,http://www.baopiqi.top:4022/udp/239.45.3.228:5140
东南卫视,http://www.baopiqi.top:4022/udp/239.45.1.121:5140
甘肃卫视,http://www.baopiqi.top:4022/udp/239.45.0.15:5140
广西卫视,http://www.baopiqi.top:4022/udp/239.45.0.5:5140
贵州卫视,http://www.baopiqi.top:4022/udp/239.45.1.80:5140
海南卫视,http://www.baopiqi.top:4022/udp/239.45.1.81:5140
河北卫视,http://www.baopiqi.top:4022/udp/239.45.1.44:5140
河南卫视,http://www.baopiqi.top:4022/udp/239.45.0.3:5140
黑龙江卫视,http://www.baopiqi.top:4022/udp/239.45.3.232:5140
湖北卫视,http://www.baopiqi.top:4022/udp/239.45.3.239:5140
吉林卫视,http://www.baopiqi.top:4022/udp/239.45.0.6:5140
江苏卫视,http://www.baopiqi.top:4022/udp/239.45.3.177:5140
江西卫视,http://www.baopiqi.top:4022/udp/239.45.1.122:5140
辽宁卫视,http://www.baopiqi.top:4022/udp/239.45.1.123:5140
山东卫视,http://www.baopiqi.top:4022/udp/239.45.3.238:5140
深圳卫视,http://www.baopiqi.top:4022/udp/239.45.3.231:5140
四川卫视,http://www.baopiqi.top:4022/udp/239.45.1.83:5140
天津卫视,http://www.baopiqi.top:4022/udp/239.45.1.124:5140
云南卫视,http://www.baopiqi.top:4022/udp/239.45.0.4:5140
重庆卫视,http://www.baopiqi.top:4022/udp/239.45.1.84:5140
兵团卫视,http://www.baopiqi.top:4022/udp/239.45.1.117:5140
内蒙古卫视,http://www.baopiqi.top:4022/udp/239.45.1.238:5140
宁夏卫视,http://www.baopiqi.top:4022/udp/239.45.1.213:5140
青海卫视,http://www.baopiqi.top:4022/udp/239.45.1.230:5140
三沙卫视,http://www.baopiqi.top:4022/udp/239.45.1.82:5140
陕西卫视,http://www.baopiqi.top:4022/udp/239.45.1.232:5140
西藏卫视,http://www.baopiqi.top:4022/udp/239.45.1.231:5140
新疆卫视,http://www.baopiqi.top:4022/udp/239.45.1.116:5140


